sensor_id,type,value,unit,site,machine,timestamp,is_critical,frequency_hz,timestamp_dt,year,month,day,hour,ingestion_timestamp
d561fb73-8635-4085-b94d-c0edf884fd7b,vibration,1.584,mm/s,Site_Paris,Machine_B2,2026-01-04T06:31:40.800000,False,825.5,2026-01-04 06:31:40.800,2026,1,4,6,2026-01-04 23:29:04.172158
9e09bca2-f357-4fcd-99ae-c38c157226ae,vibration,5.761,mm/s,Site_Paris,Machine_A2,2026-01-04T06:41:45.600000,False,623.8,2026-01-04 06:41:45.600,2026,1,4,6,2026-01-04 23:29:04.172158
c6f96b57-d9db-4527-828b-05d51784b3a2,vibration,1.742,mm/s,Site_Paris,Machine_A2,2026-01-04T06:54:43.200000,False,337.0,2026-01-04 06:54:43.200,2026,1,4,6,2026-01-04 23:29:04.172158
c3ae6317-b542-4e21-84e6-d80242035323,vibration,6.368,mm/s,Site_Paris,Machine_A2,2026-01-04T07:01:55.200000,False,418.7,2026-01-04 07:01:55.200,2026,1,4,7,2026-01-04 23:29:04.172158
b1d35662-4d41-4980-8409-02f5db9f9c33,vibration,4.174,mm/s,Site_Paris,Machine_B2,2026-01-04T07:06:14.400000,False,182.1,2026-01-04 07:06:14.400,2026,1,4,7,2026-01-04 23:29:04.172158
0aa294f9-75e7-4fe0-891a-0313766041e9,vibration,11.825,mm/s,Site_Paris,Machine_B2,2026-01-04T07:13:26.400000,True,827.3,2026-01-04 07:13:26.400,2026,1,4,7,2026-01-04 23:29:04.172158
12b9d725-3a2c-41d3-ab26-b7d18f2a10e7,vibration,9.392,mm/s,Site_Paris,Machine_C1,2026-01-04T07:14:52.800000,False,767.2,2026-01-04 07:14:52.800,2026,1,4,7,2026-01-04 23:29:04.172158
a3d068b4-9f65-45c9-9f60-881e3cecf007,vibration,11.395,mm/s,Site_Paris,Machine_C1,2026-01-04T07:22:04.800000,True,587.5,2026-01-04 07:22:04.800,2026,1,4,7,2026-01-04 23:29:04.172158
a3938a73-43cf-4d10-b3a0-5522c36977df,vibration,3.135,mm/s,Site_Paris,Machine_C1,2026-01-04T07:49:26.400000,False,692.0,2026-01-04 07:49:26.400,2026,1,4,7,2026-01-04 23:29:04.172158
73b61017-a498-465f-b97c-16854dd76ea8,vibration,1.142,mm/s,Site_Paris,Machine_B1,2026-01-04T07:53:45.600000,False,813.3,2026-01-04 07:53:45.600,2026,1,4,7,2026-01-04 23:29:04.172158
cbf20b31-f898-49a1-9549-218b9fed1e87,vibration,0.614,mm/s,Site_Paris,Machine_C1,2026-01-04T08:22:33.600000,False,790.4,2026-01-04 08:22:33.600,2026,1,4,8,2026-01-04 23:29:04.172158
0e005b41-53fc-4263-a261-dbd24bd4f10d,vibration,4.167,mm/s,Site_Paris,Machine_A2,2026-01-04T08:25:26.400000,False,235.8,2026-01-04 08:25:26.400,2026,1,4,8,2026-01-04 23:29:04.172158
acd3449b-2324-4185-8a86-4858757f7fc5,vibration,1.629,mm/s,Site_Paris,Machine_A2,2026-01-04T08:36:57.600000,False,473.3,2026-01-04 08:36:57.600,2026,1,4,8,2026-01-04 23:29:04.172158
ed74b0bf-6697-4370-bc76-1c3f8b906512,vibration,4.503,mm/s,Site_Paris,Machine_C1,2026-01-04T08:42:43.200000,False,345.6,2026-01-04 08:42:43.200,2026,1,4,8,2026-01-04 23:29:04.172158
af3db1a5-b83e-4c9e-8c1c-ce4da3a30960,vibration,1.746,mm/s,Site_Paris,Machine_A2,2026-01-04T08:47:02.400000,False,827.1,2026-01-04 08:47:02.400,2026,1,4,8,2026-01-04 23:29:04.172158
d74ab0fb-ef92-44dd-81cd-e38d52784d7a,vibration,2.228,mm/s,Site_Paris,Machine_C1,2026-01-04T08:49:55.200000,False,238.0,2026-01-04 08:49:55.200,2026,1,4,8,2026-01-04 23:29:04.172158
215dc39c-4202-476c-a9dc-a31b71ed6f8c,vibration,4.695,mm/s,Site_Paris,Machine_C1,2026-01-04T08:54:14.400000,False,182.9,2026-01-04 08:54:14.400,2026,1,4,8,2026-01-04 23:29:04.172158
5dbc6909-ae52-4c56-9317-bb9da216c6e1,vibration,7.188,mm/s,Site_Paris,Machine_A1,2026-01-04T09:04:19.200000,False,427.4,2026-01-04 09:04:19.200,2026,1,4,9,2026-01-04 23:29:04.172158
363d20fb-5cec-486a-80e9-4d928dd47dcc,vibration,3.311,mm/s,Site_Paris,Machine_A2,2026-01-04T09:15:50.400000,False,960.4,2026-01-04 09:15:50.400,2026,1,4,9,2026-01-04 23:29:04.172158
