sensor_id,type,value,unit,site,machine,timestamp,is_critical,timestamp_dt,year,month,day,hour,ingestion_timestamp
10cf0bc3-19e7-464d-9962-b2b57dba0dfe,temperature,55.09,Celsius,Site_Marseille,Machine_B1,2026-01-04T06:33:07.200000,False,2026-01-04 06:33:07.200,2026,1,4,6,2026-01-04 23:28:57.127714
650465f8-8085-4ca8-ad2c-865a01baeed3,temperature,33.25,Celsius,Site_Marseille,Machine_A1,2026-01-04T06:40:19.200000,False,2026-01-04 06:40:19.200,2026,1,4,6,2026-01-04 23:28:57.127714
a92acfb5-4592-4e82-9a2b-c353ab006819,temperature,53.97,Celsius,Site_Marseille,Machine_A1,2026-01-04T06:44:38.400000,False,2026-01-04 06:44:38.400,2026,1,4,6,2026-01-04 23:28:57.127714
4b304c10-0a6a-4e23-b231-5a21b81dcd95,temperature,66.28,Celsius,Site_Marseille,Machine_A1,2026-01-04T06:47:31.200000,False,2026-01-04 06:47:31.200,2026,1,4,6,2026-01-04 23:28:57.127714
2860907e-3d24-466e-93a7-d32eb564f5fc,temperature,21.36,Celsius,Site_Marseille,Machine_B2,2026-01-04T07:07:40.800000,False,2026-01-04 07:07:40.800,2026,1,4,7,2026-01-04 23:28:57.127714
fd30b6db-7dfa-40b3-8343-b727449e55e6,temperature,52.93,Celsius,Site_Marseille,Machine_C1,2026-01-04T07:16:19.200000,False,2026-01-04 07:16:19.200,2026,1,4,7,2026-01-04 23:28:57.127714
c83ff562-2ebd-479d-9c4f-1dcba07d7233,temperature,21.24,Celsius,Site_Marseille,Machine_A2,2026-01-04T07:46:33.600000,False,2026-01-04 07:46:33.600,2026,1,4,7,2026-01-04 23:28:57.127714
abaedd75-f0c5-40c1-ac0c-15cf8b0078f6,temperature,24.48,Celsius,Site_Marseille,Machine_B2,2026-01-04T08:05:16.800000,False,2026-01-04 08:05:16.800,2026,1,4,8,2026-01-04 23:28:57.127714
60a0d0be-157e-4096-b5da-53eb7f5349b9,temperature,64.33,Celsius,Site_Marseille,Machine_B1,2026-01-04T08:11:02.400000,False,2026-01-04 08:11:02.400,2026,1,4,8,2026-01-04 23:28:57.127714
4cdff6c9-3a5f-4347-960b-9b6f0ee5f505,temperature,53.61,Celsius,Site_Marseille,Machine_C1,2026-01-04T08:57:07.200000,False,2026-01-04 08:57:07.200,2026,1,4,8,2026-01-04 23:28:57.127714
9c2d788c-d80f-4286-a605-682adcd4a82d,temperature,21.38,Celsius,Site_Marseille,Machine_A1,2026-01-04T09:01:26.400000,False,2026-01-04 09:01:26.400,2026,1,4,9,2026-01-04 23:28:57.127714
37231c94-ed11-48ab-8a88-d62909dbd4fa,temperature,36.32,Celsius,Site_Marseille,Machine_A1,2026-01-04T09:04:19.200000,False,2026-01-04 09:04:19.200,2026,1,4,9,2026-01-04 23:28:57.127714
27385cdd-202a-48f8-95e8-763b225722ba,temperature,66.08,Celsius,Site_Marseille,Machine_A1,2026-01-04T09:12:57.600000,False,2026-01-04 09:12:57.600,2026,1,4,9,2026-01-04 23:28:57.127714
