sensor_id,type,value,unit,site,machine,timestamp,is_critical,value_pascal,timestamp_dt,year,month,day,hour,ingestion_timestamp
1f201998-d1f0-4cd1-b1cb-b080da285491,pressure,3.126,Bar,Site_Lyon,Machine_C1,2026-01-04T09:25:55.200000,False,312600.0,2026-01-04 09:25:55.200,2026,1,4,9,2026-01-04 23:29:08.023034
efa49643-c475-4c27-b417-acd37abed329,pressure,7.348,Bar,Site_Lyon,Machine_B1,2026-01-04T09:41:45.600000,False,734800.0,2026-01-04 09:41:45.600,2026,1,4,9,2026-01-04 23:29:08.023034
1ea5debb-f6e0-495f-af22-5e7426630069,pressure,4.327,Bar,Site_Lyon,Machine_A1,2026-01-04T09:54:43.200000,False,432700.0,2026-01-04 09:54:43.200,2026,1,4,9,2026-01-04 23:29:08.023034
389a1a28-40dd-41ea-aaf7-a73de5a0e4e6,pressure,6.786,Bar,Site_Lyon,Machine_C1,2026-01-04T09:56:09.600000,False,678600.0,2026-01-04 09:56:09.600,2026,1,4,9,2026-01-04 23:29:08.023034
6e551ced-9572-4b6f-a7de-8946c7764af4,pressure,2.987,Bar,Site_Lyon,Machine_C1,2026-01-04T10:03:21.600000,False,298700.0,2026-01-04 10:03:21.600,2026,1,4,10,2026-01-04 23:29:08.023034
aa72ff44-6c58-452b-a76e-0f725305f535,pressure,1.182,Bar,Site_Lyon,Machine_A1,2026-01-04T10:22:04.800000,False,118200.0,2026-01-04 10:22:04.800,2026,1,4,10,2026-01-04 23:29:08.023034
0d3076d8-1163-4b5d-84f7-45f15d8307a4,pressure,4.648,Bar,Site_Lyon,Machine_A1,2026-01-04T10:27:50.400000,False,464800.0,2026-01-04 10:27:50.400,2026,1,4,10,2026-01-04 23:29:08.023034
af0a2e77-6191-4074-bb0c-ed3959d02caf,pressure,7.987,Bar,Site_Lyon,Machine_A1,2026-01-04T10:39:21.600000,False,798700.0,2026-01-04 10:39:21.600,2026,1,4,10,2026-01-04 23:29:08.023034
6c14901f-5a1c-48ef-bc0f-7297519b2e5d,pressure,2.152,Bar,Site_Lyon,Machine_A1,2026-01-04T10:42:14.400000,False,215200.0,2026-01-04 10:42:14.400,2026,1,4,10,2026-01-04 23:29:08.023034
26d4cb87-9e88-4e26-bd1d-f2b44d24940a,pressure,7.744,Bar,Site_Lyon,Machine_B1,2026-01-04T11:29:45.600000,False,774400.0,2026-01-04 11:29:45.600,2026,1,4,11,2026-01-04 23:29:08.023034
2e83a701-a016-4c91-be93-184b80a0e8ad,pressure,7.446,Bar,Site_Lyon,Machine_B1,2026-01-04T11:36:57.600000,False,744600.0,2026-01-04 11:36:57.600,2026,1,4,11,2026-01-04 23:29:08.023034
3ea1a135-7216-49fb-9484-b23b91412bfa,pressure,1.001,Bar,Site_Lyon,Machine_A1,2026-01-04T12:02:52.800000,False,100100.0,2026-01-04 12:02:52.800,2026,1,4,12,2026-01-04 23:29:08.023034
8d6eb63f-b92f-44ab-88e2-70d7fd2d567a,pressure,7.039,Bar,Site_Lyon,Machine_A1,2026-01-04T12:05:45.600000,False,703900.0,2026-01-04 12:05:45.600,2026,1,4,12,2026-01-04 23:29:08.023034
3b79534d-115b-4c15-bcb7-82ddad0840f6,pressure,6.302,Bar,Site_Lyon,Machine_B1,2026-01-04T12:12:57.600000,False,630200.0,2026-01-04 12:12:57.600,2026,1,4,12,2026-01-04 23:29:08.023034
cb9c4e74-2984-4740-b733-d493d22f1f0e,pressure,3.293,Bar,Site_Lyon,Machine_B1,2026-01-04T12:23:02.400000,False,329300.0,2026-01-04 12:23:02.400,2026,1,4,12,2026-01-04 23:29:08.023034
a7f7ee36-ed77-4cc3-b75e-034e822ab1a9,pressure,5.764,Bar,Site_Lyon,Machine_C1,2026-01-04T12:41:45.600000,False,576400.0,2026-01-04 12:41:45.600,2026,1,4,12,2026-01-04 23:29:08.023034
79dfdb8a-2dd2-410e-b9e5-2e8193b94180,pressure,4.006,Bar,Site_Lyon,Machine_A2,2026-01-04T12:46:04.800000,False,400600.0,2026-01-04 12:46:04.800,2026,1,4,12,2026-01-04 23:29:08.023034
c44f7a26-0f7c-4d2d-943a-79894ee6508c,pressure,2.425,Bar,Site_Lyon,Machine_B2,2026-01-04T12:56:09.600000,False,242500.0,2026-01-04 12:56:09.600,2026,1,4,12,2026-01-04 23:29:08.023034
ced6d3b3-a115-415d-abc0-81f4ae09b12c,pressure,4.939,Bar,Site_Lyon,Machine_A1,2026-01-04T13:37:55.200000,False,493900.0,2026-01-04 13:37:55.200,2026,1,4,13,2026-01-04 23:29:08.023034
14955d41-204f-4058-88dc-1e7acd863c2f,pressure,4.395,Bar,Site_Lyon,Machine_B2,2026-01-04T13:39:21.600000,False,439500.0,2026-01-04 13:39:21.600,2026,1,4,13,2026-01-04 23:29:08.023034
